commercial_name_en,commercial_name_ar,scientific_name,manufacturer,drug_class,route,price_egp
D-TROL 1000 I.U. 30 CAPS.,د-ترول 1000 إ.أو,CHOLECALCIFEROL(VITAMIN D3),VITANE PHARMA > ROTABIOGEN,VITAMIN D,ORAL.SOLID,67.0
D. K DUO 400 IU 15 ML ORAL DROPS,د. ك دوو أورال,VITAMIN D3+VITAMIN K2,DAWA EGYPT > QUAD PHARMACEUTICALS,VIT D3,ORAL.LIQUID,40.0
D.D.B 1.5MG 500 PILLULES (N/A),د.د.ب 500 بيللوليس,BIPHENYL DIMETHYL DICARBOXYLATE,BEJING UNION PHARMACEUTICAL - CHINA > APM-EGYPT,LIVER SUPPORT,UNKNOWN,14.4
D.DEP 10.000 I.U. 30 CAPS.,د.ديب 10.000 إ.أو,CHOLECALCIFEROL(VITAMIN D3),D.DEP > GLOBE INTERNATIONAL PHARMACEUTICALS,VITAMIN D,ORAL.SOLID,300.0
D.DEP 1000 I.U. 30 CAPS.,د.ديب 1000 إ.أو,CHOLECALCIFEROL(VITAMIN D3),D.DEP > GLOBE INTERNATIONAL PHARMACEUTICALS,VITAMIN D,ORAL.SOLID,200.0
D.DEP 4000 I.U. 30 CAPS.,د.ديب 4000 إ.أو,CHOLECALCIFEROL(VITAMIN D3)+VITAMIN K2,DAWA EGYPT INTERNATIONAL > GLOBE INTERNATIONAL PHARMACEUTICALS,VITAMIN D3&K2,UNKNOWN,230.0
D.DEP 5000 I.U. 30 CAPS.,د.ديب 5000 إ.أو,CHOLECALCIFEROL(VITAMIN D3),D.DEP > GLOBE INTERNATIONAL PHARMACEUTICALS,VITAMIN D,ORAL.SOLID,250.0
D.DEP ORAL DROPS 15 ML,د.ديب أورال,VITAMIN D3+VITAMIN K2+DHA,D.DEP > GLOBE INTERNATIONAL PHARMACEUTICALS,MULTIVITAMIN,ORAL.LIQUID,250.0
D.T. VACCINE (DIPHTERIA TOXOID &TETANUS TOXOID) VIAL,د.ت. فاكسيني,VACCINE DIPHTHERIA+TETANUS,VACSERA,VACCINE,INJECTION,1.5
D.T.P. VACCINE (E.P 72) VIAL,د.ت.ب. فاكسيني,VACCINE DIPHTHERIA+PERTUSSIS+TETANUS,VACSERA,VACCINE,INJECTION,2.0
D3 5000 I.U. 30 TABS.,د3 5000 إ.أو,CHOLECALCIFEROL(VITAMIN D3),NAPCO,VITAMIN D,ORAL.SOLID,38.0
D3 BOX DROPS 15 ML,د3 بوكس,VITAMIN D3,ORGANIX INDUSTRY > MEDI CURE,MULTIVITAMIN,ORAL.LIQUID,22.0
D3 CANDY 1000 I.U. ADULTS 30 PIECES,د3 كاندي 1000 إ.أو. أدولتس 30 بيسيس,CHOLECALCIFEROL(VITAMIN D3),EL DELTA FOR SWEETS AND FOOD INDUSTRIES > DEVARTLAB PHARMA,VITAMIN D,ORAL.SOLID,55.0
D3 CANDY 400 I.U. CHILDREN 30 PIECES,د3 كاندي 400 إ.أو. تشيلدرين 30 بيسيس,CHOLECALCIFEROL(VITAMIN D3),EL DELTA FOR SWEETS AND FOOD INDUSTRIES > DEVARTLAB PHARMA,VITAMIN D,ORAL.SOLID,57.0
D3 ORAL DROPS 2400 I.U./ML 30 ML,د3 أورال 2400 إ.أو./مل,CHOLECALCIFEROL(VITAMIN D3),NAPCO,VITAMIN D,ORAL.LIQUID,36.0
D3 PANAX BUTRITION 5000 I.U. 30 CAPS.,د3 باناكس بوتريتيون 5000 إ.أو,CHOLECALCIFEROL(VITAMIN D3),PANAX PHARMA,VITAMIN D,ORAL.SOLID,32.0
D3 PLUS K2 20 ML ORAL DROPS,د3 بلوس ك2 أورال,VITAMIN D3 200 VITAMIN K2 15,ORGANIX > EVOKA PHARMA,MULTIVITAMIN D3,ORAL.LIQUID,60.0
D3 PRIME 10.000 I.U. 30 TABS.,د3 بريمي 10.000 إ.أو,CHOLECALCIFEROL(VITAMIN D3),COPAD > PRIME PHARMA,VITAMIN D,ORAL.SOLID,62.0
D3 SOURCE 30 ML SPRAY,د3 سورسي,VITAMIN D3,PHARMAZAD > HEALTH PALACE PHARMA,VITAMIN D3,UNKNOWN,55.0
D3&K2 20 FILM COATED TABS,د3&ك2 20 فيلم كواتيد,VITAMIN D3+VITAMIN K2,KARMAN PHARMACEUTICAL INDUSTRIES > JAXTER PHARMACEUTICALS,VITAMIN D3 & VITAMIN K2,ORAL.SOLID,74.0
D3-TAG 1000 IU/ML ORAL DROPS 30ML,د3-تاج /مل أورال,CHOLECALCIFEROL(VITAMIN D3),> TAG PHARMA,VITAMIN D,ORAL.LIQUID,27.0
D3LAB 120 ML SYRUP,د3لاب,OMEGA 3   1605 MG ( EPA 825 MG&DHA  550 MG),BRAND NUTRITION > DRUG LAB PHARMACEUTICALS,OMEGA3 SUPPLEMENT,ORAL.LIQUID,150.0
DABISERVE 150MG 10 CAPS.,دابيسيرفي,DABIGATRAN ETEXILATE,HOCHSTER PHARMACEUTICAL INDUSRIES > NOVELL PHARMA,ANTICOAGULANT.DIRECT THROMBIN INHIBITOR,ORAL.SOLID,86.5
DABISERVE 75MG 10 CAPS.,دابيسيرفي,DABIGATRAN ETEXILATE,HOCHSTER PHARMACEUTICAL INDUSRIES > NOVELL PHARMA,ANTICOAGULANT.DIRECT THROMBIN INHIBITOR,ORAL.SOLID,90.0
DABOCASE 20 CAPS.,دابوكاسي,MAGNESIUM SALTS+VITAMIN C+SUGAR BEET FIBER,> PIVOT PHARMACEUTICAL,LAXATIVE,ORAL.SOLID,60.0
DACARBAZINE-MEDAC 200MG VIAL SS,داكاربازيني-ميداك سس,DACARBAZINE,MEDAC > EGYPTIAN PHARMACEUTICAL TRADING COMPANY,ANTINEOPLASTIC,INJECTION,585.0
DACLAHEPEX 60 MG 28 F.C. TABS.,داكلاهيبيكس,DACLATASVIR,GLOBAL NAPI PHARMACEUTICALS > GLOBAL PHARMACEUTICAL INDUSTRIES,ANTI-VIRAL,ORAL.SOLID,120.0
DACLAVIRDIN 60 MG 28 F.C. TABS.,داكلافيردين,DACLATASVIR,EVA PHARMA,ANTI-VIRAL,ORAL.SOLID,120.0
DACLAVIROCYRL 60 MG 28 F.C. TABS.,داكلافيروسيرل,DACLATASVIR,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI),ANTI-VIRAL,ORAL.SOLID,120.0
DACOGEN 50 MG LYOPH. PD. FOR IV INF. VIAL,داكوجين ليوف. بد,DECITABINE,JANSSEN CILAG > SOFICOPHARM,.,INJECTION,9330.0
DACRYOTIVE EYE DROPS 15 ML,داكريوتيفي إيي,GLYCERIN+SODIUM CARBOXYMETHYLCELLULOSE,RAMEDA > PHARMA MEDICA,EYE LUBRICANT,EYE,22.75
DACTO 100MG 10 SACHETS,داكتو,LACTOFERRIN+MAGNESIUM+VITAMINS(A+B1+B2+B6+C+D3+E)+CALCIUM+IRON+POTASSIUM+ZINC,PHARMAZAD > AL ANDALUSIA CO.,IRON SUPPLEMENT,EFF,135.0
DAFLOFIX 20 F.C TABS. (N/A),دافلوفيكس,HESPERIDIN+DIOSMIN+TRAXERUTIN+FOLIC ACID,> STEMYA,VASCULAR-PROTECTING AGENT,ORAL.SOLID,120.0
DAFLOFIX 30 F.C TABS.,دافلوفيكس,HESPERIDIN+DIOSMIN+TRAXERUTIN+FOLIC ACID,> STEMYA,VASCULAR-PROTECTING AGENT,ORAL.SOLID,216.0
DAFLON 1000 MG 30 F.C. TABS.,دافلون,DIOSMIN+HESPERIDIN,SERVIER,VASCULAR-PROTECTING AGENT,ORAL.SOLID,354.0
DAFLON 500 MG 30 F.C. TABS.,دافلون,DIOSMIN+HESPERIDIN,SERVIER,VASCULAR-PROTECTING AGENT,ORAL.SOLID,236.0
DAFREX 15 F.C. TABS.,دافريكس,DIOSMIN+HESPERIDIN,EGYPHAR,VASCULAR-PROTECTING AGENT,ORAL.SOLID,75.0
DAFROCIN 30 CAPS.,دافروسين,DIOSMIN+HESPERIDIN+RUTIN+VITAMIN C,VORTEX,VASCULAR-PROTECTING AGENT,ORAL.SOLID,135.0
DAGO HAIR SHAMPOO 250ML,داجو هاير,ZINC PYRITHION+CAFFEINE+ALOE VERA+TEA TREE OIL+PANTHENOL,HI-CARE > BLUEBELL PHARMACEUTICALS,HAIR CARE,TOPICAL,300.0
DAGO PLUS HAIR SHAMPOO 250ML,داجو بلوس هاير,SELENIUM SULPHIDE+ZINC PYRITHIONE,HI-CARE > BLUEBELL PHARMACEUTICALS,HAIR CARE,TOPICAL,350.0
DAILY V OMEGA 3 ESSENTIAL 30 CAPS.,دايلي ف أوميجا 3 إسسينتيال,OMEGA 3,PHARCO,OMEGA 3,ORAL.SOLID,150.0
DAILY VIT VITAMIN B COMPLEX 60 CAPS.,دايلي فيت فيتامين ب كومبليكس,VITAMIN B1+RIBOFLAVIN+NICOTINAMIDE+PANTOTHENIC ACID+VITAMIN B6+BIOTIN+FOLIC ACID+VITAMIN B12,UNIPRO SP. Z O.O. > SOFICOPHARM,VITAMIN B COMPLEX,ORAL.SOLID,310.0
DAILY VITS 30 VEG. CAPS. (NOW),دايلي فيتس 30 فيج,,NOW FOODS > SOFICOPHARM,MULTIVITAMIN,ORAL.SOLID,650.0
DAISY DENT MOUTH WASH 120 ML,دايسي دينت موث واش,,EL-HELOU PERFUMES & COSMETICS > CAPITAL PHARMA,ORAL CARE,MOUTH,13.0
DAIVOBET TOPICAL GEL 15 GM,دايفوبيت,BETAMETHASONE+CALCIPOTRIOL(CALCIPOTRIENE),LEO PHARMACEUTICAL PRODUCTS,PSORIASIS,TOPICAL,182.5
DAIVOBET TOPICAL GEL 30 GM,دايفوبيت,BETAMETHASONE+CALCIPOTRIOL(CALCIPOTRIENE),LEO PHARMACEUTICAL PRODUCTS,PSORIASIS,TOPICAL,182.0
DAIVOBET TOPICAL OINT. 15 GM,دايفوبيت,BETAMETHASONE+CALCIPOTRIOL(CALCIPOTRIENE),LEO PHARMACEUTICAL PRODUCTS,PSORIASIS,TOPICAL,211.0
DAIVOBET TOPICAL OINT. 30 GM,دايفوبيت,BETAMETHASONE+CALCIPOTRIOL(CALCIPOTRIENE),LEO PHARMACEUTICAL PRODUCTS,PSORIASIS,TOPICAL,388.0
DAJOEAST 125GM 10 SACHETS,داجوياست,WHEY PROTEIN CONCENTRATE      21G                              OTHER INGREDIENTS: DEXTROSE+LECITHIN+COLLOIDAL SILICON DIOXIDE+VANILLIN+SYNTHETIC CARAMEL FLAVOR+SUCRALOSE.,GLORIA PHARM > ALSHARQ ALSWSAT PHARM,DIETARY SUPPLEMENT,EFF,220.0
DAJUANOFEN 200 MG 20 CAPS,داجوانوفين,IBUPROFEN,COPAD PHARMA,NSAID.PROPIONIC ACID DERIVATIVES,ORAL.SOLID,4.0
DAJUANOFEN 400 MG 20 F.C. TABS.,داجوانوفين,IBUPROFEN,COPAD PHARMA,NSAID.PROPIONIC ACID DERIVATIVES,ORAL.SOLID,5.0
DAJUANOFEN 600 MG 20 F.C. TABS.,داجوانوفين,IBUPROFEN,COPAD PHARMA,NSAID.PROPIONIC ACID DERIVATIVES,ORAL.SOLID,6.5
DAKLANORK 60 MG 28 F.C. TABS.,داكلانورك,DACLATASVIR,MASH PREMIERE,ANTI-VIRAL,ORAL.SOLID,120.0
DAKTACORT CREAM 15 GM,داكتاكورت,HYDROCORTISONE+MICONAZOLE,MINA PHARM > JANSSEN CILAG,GLUCOCORTICOID WITH ANTIFUNGAL,TOPICAL,48.0
DAKTARIN 2% CREAM 15 GM,داكتارين 2%,MICONAZOLE,MINA PHARM > JANSSEN CILAG,ANTIFUNGALS.IMIDAZOLES,TOPICAL,28.0
DAKTARIN 2% ORAL GEL 40 GM,داكتارين 2% أورال,MICONAZOLE,JANSSEN CILAG > SOFICOPHARM,ANTIFUNGALS.IMIDAZOLES,TOPICAL,53.5
DAKTAVIRA 60 MG 28 F.C. TABS.,داكتافيرا,DACLATASVIR,EUROPEAN EGYPTIAN PHARM. IND.,ANTI-VIRAL,ORAL.SOLID,175.0
DAKY DEODORANT ROLL ON 50 ML,داكي ديودورانت رولل أون,,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > MEDINZA PHARM,SKIN CARE,TOPICAL,159.0
DAKY NIGHT WHITENING CREAM 50 GM,داكي نيغت وهيتينينج,KOJIC ACID+LICORICE+HONEY+VITAMINS (C+A+E)+GLYCOLIC ACID+ALLANTOIN+ ZINC OXIDE+TITANIUM OXIDE+GLYCERIN+PANTHENOL+TRIETHANOLAMINE+SODIUM BENZOATE+BEARBERRY,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > MEDINZA PHARM,SKIN CARE.WHITENING,TOPICAL,350.0
DAKY SENSITIVE WHITENING CREAM 50 GM,داكي سينسيتيفي وهيتينينج,LICORICE+STEARIC ACID+VITAMIN C+KOJIC ACID+MARINE COLLAGEN+TITANIUM DIOXIDE+CASTOR OIL+MELON EXTRACT+PAPAYA EXTRACT+ALPHA ARBUTIN+RETINYL PALMITATE+CAVIAR EXTRACT,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > MEDINZA PHARM,SKIN CARE.WHITENING,TOPICAL,250.0
DAKY SUNSCREEN 50+ SPF CREAM 60 GM,داكي سونسكرين 50+ سبف,,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > MEDINZA PHARM,SUNBLOCK,TOPICAL,175.0
DAKY SUNSCREEN 50+ SPF LOTION 75 GM,داكي سونسكرين 50+ سبف,,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > MEDINZA PHARM,SUNBLOCK,UNKNOWN,275.0
DAKY WHITENING CREAM 60 GM,داكي وهيتينينج,,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > MEDINZA PHARM,SKIN CARE.WHITENING,TOPICAL,250.0
DAL-PORT 400 I.U./ML ORAL DROPS 30 ML,دال-بورت 400 إ.أو./مل أورال,CHOLECALCIFEROL(VITAMIN D3),PHARMAZAD > LA PORTE PHARMA,VITAMIN D,ORAL.LIQUID,55.0
DALABLESS 30 CAPS,دالابليسس,L-HISTIDINE+FERROUS BIS-GLYCINATE+L-ASCORBIC ACID+FOLIC ACID+METHYLCOBALAMIN,COPAD > DELPHI PHARMA,MULTIVITAMIN,ORAL.SOLID,240.0
DALACIN 2% VAGINAL CREAM 16.5 GM,دالاسين 2%,CLINDAMYCIN,PFIZER,ANTIBIOTIC.LINCOMYCINS,VAGINAL,58.5
DALACIN C 300MG 10 CAPS.,دالاسين ك,CLINDAMYCIN,PFIZER,ANTIBIOTIC.LINCOMYCINS,ORAL.SOLID,114.0
DALACIN C 600MG I.M./I.V. 4 ML AMP.,دالاسين ك ./,CLINDAMYCIN,PFIZER,ANTIBIOTIC.LINCOMYCINS,INJECTION,148.0
DALACIN T 1% TOPICAL SOLN. 30 ML,دالاسين ت 1%,CLINDAMYCIN,PFIZER,ANTIBIOTIC.LINCOMYCINS,UNKNOWN,45.0
DALDROP 200 I.U./DROP ORAL DROPS 30 ML,دالدروب 200 إ.أو./ أورال,CHOLECALCIFEROL(VITAMIN D3),COPAD EGYPT > THERAPY INC. INTERNATIONAL,VITAMIN D,ORAL.LIQUID,70.0
DALE  DAL 4000 IU 30 CAP,دالي دال,VITAMIN D (CHOLECALCIFEROL),DAWA EGYPT > SAVI PHARMA,VITAMIN D,ORAL.SOLID,150.0
DALFAROSIS 10 MG 20 EXT. REL. F.C. TABS.,دالفاروسيس 20 إكست. ريل,DALFAMPRIDINE,ANDALOUS PHARMA,POTASSIUM CHANNEL BLOCKER,ORAL.SOLID,352.0
DALINE  DROPS -15 ML -400IU/DROP,داليني - - /,VITAMIN D3-CHOLECALCIFEROL 400IU/DROP,SMARTEC FOR PHARMAMIX > PHARMAMIX,VITAMIN D3,ORAL.LIQUID,76.0
DALIVENT 0.5 MG 10 F.C.TABS.,داليفينت,ROFLUMILAST,PHARCO,PDE-4 INHIBITOR,ORAL.SOLID,20.0
DALIVO 4000IU 30TABS,داليفو,CHOLECALCIFEROL D3 4000,KERMAN FACTORY  AND BMS > LUMINA PHARMA,VITAMIN D3,ORAL.SOLID,150.0
DALIZOS XL 4 MG 7 TABS.,داليزوس كسل,DOXAZOSIN,EGYPHAR,ANTIHYPERTENSIVE.SELECTIVE ALPHA 1 RECEPTOR BLOCKERS,ORAL.SOLID,20.5
DALKINO 20 TABS,دالكينو,CALCIUM+ZINC+VIT D3+MAGNESIUM+COPPER+MANGANESE+K1,ORGANIX FOR SUPPLEMENTS > VALID AND PURE PHARMA,CALCIUM SUPPLEMENT,ORAL.SOLID,95.0
DALLY- MEZ 25 ML ORAL DROPS,داللي- ميز أورال,CHOLECALCIFEROL,ORGANIX > M3A,MULTIVITAMIN,ORAL.LIQUID,50.0
DALRAS 30TABS,دالراس,VITAMIN D3(4000IU)+K2(MENAQUINONE7),ORGANIX > NEBRAS PHARMA,MULTIVITAMINS,ORAL.SOLID,120.0
DALUKAN 10.000 I.U. 30 SUBLINGUAL TABS.,دالوكان 10.000 إ.أو. 30 سوبلينجوال,CHOLECALCIFEROL(VITAMIN D3),DULEXLAB > LUKAN PHARMA,VITAMIN D,ORAL.SOLID,116.0
DALUKAN 400 I.U. ORAL DROPS 25 ML,دالوكان 400 إ.أو. أورال,CHOLECALCIFEROL(VITAMIN D3),DULEXLAB > LUKAN PHARMA,VITAMIN D,ORAL.LIQUID,60.0
DALUPLENT 4000 IU 30 TABS,دالوبلينت,VITAMIN D,ORGANIX > HOECHST,VITAMIN D,ORAL.SOLID,120.0
DAM LIGHT SERUM 30ML,دام ليغت سيروم,VITAMIN C+COLLAGEN+HYALURONIC ACID,EGYPTIAN COMPANY FOR COSMETICS > DAM PHARM,SKIN CARE,TOPICAL,89.0
DAMA FRESH 250 ML,داما فريش,LACTIC ACID+CHLORHEXIDINE+ALOE VERA EXTRACT+THYME EXTRSCT+LICORICE EXTRACT+GLYCERIN+TEA TREE OIL+MENTHOL CRYSTALS+CHAMOMILE EXTRACT.,LEADER FOR COSMETICS > J.C.PHARMA,VAGINAL WASH,VAGINAL,35.0
DAN OFF HAIR SHAMPOO 250ML,دان أوفف هاير,PIROCTON OLAMINE+CHAMOMILE EXTRACT+ROSEMARY EXTRACT+THYME EXTRACT+METHYL PARABEN,LEADER COSMETICS > ORIGINAL GROUP,HAIR CARE,TOPICAL,220.0
DANA MASSAGE CREAM 60 GM,دانا ماسساجي,JOJOBA OIL+GREEN TEA OIL+WHEAT GERM OIL+BEES WAX+PANTHENOL+CAMPHOR OIL+CASTOR OIL+ALMOND OIL+MENTHOL,LEADER COSMETICS > SHROUHAL PHARMA,MASSAGE CREAM,TOPICAL,18.9
DANA WHITENING CREAM 40 GM,دانا وهيتينينج,WHEAT GERM OIL+ROSEMARY+ALMOND OIL+JOJOBA OIL+CASTOR OIL+LICUORICE+BEARBERY+GREEN TEA OIL+VITAMIN C+,LEADER COSMETICS > JMP,WHITENING TOPICAL,TOPICAL,35.0
DANASETRON 4MG/2ML 5 I.M./I.V. AMP.,داناسيترون / 5 ./,ONDANSETRON,SUNNY MEDICAL,ANTIEMETIC,INJECTION,120.0
DANASETRON 8MG/4ML 5 I.M./I.V. AMP.,داناسيترون / 5 ./,ONDANSETRON,SUNNY MEDICAL,ANTIEMETIC,INJECTION,225.0
DANAZOL 200MG 56 CAPS.(N/A),دانازول,DANAZOL,MYLAN S.A.S-UK > RAMCO,SYNTHETIC ANDROGEN,ORAL.SOLID,139.0
DANCRAN 30 CAPS,دانكران,CRANBERRY EXTRACT(VACCINIUM MACROCARPON)+FRUCTOOLGOSACCHARIDES+VITAMIN C,PHARMAZAD > SAFWA PHARM,HERBAL SUPPLMENT,ORAL.SOLID,150.0
DAND OFF HAIR CREAM 50 GM,داند أوفف هاير,,E.C.P > ARABIAN INTERNATIONAL GROUP (AIG),HAIR CARE,TOPICAL,15.0
DAND RAST ANTI-DANDRUFF SHAMPOO 125 GM,داند راست أنتي-داندروفف,ZINC PYRITHIONE+PIROCTONE OLAMINE+KERATIN+SOYABEAN OIL+SALICYLIC ACID,COSMOPACK FOR COSMETICS > X MED,HAIR CARE,TOPICAL,69.0
DANDEL HAIR CREAM 100 GM,دانديل هاير,,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > INFINITY PHARM,HAIR CARE,TOPICAL,180.0
DANDEL HAIR SHAMPOO 250 ML,دانديل هاير,ZINC PYRITHIONE+SELENIUM SULPHIDE+OLIVE OIL+ALOE VERA+TOCOPHEROL+CASTOR OIL+TEA TREE OIL+ARGAN OIL+PANTHENOL,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > INFINITY PHARM,HAIR CARE,TOPICAL,180.0
DANDI KILLER LOTION,داندي كيللير,SELENIUM SULPHIDE+ZINC PYRETHION,DREAMS ALHABOBA > MARKETOVA,ANTI INFECTVE,UNKNOWN,20.0
DANDIDORATO 30 TABS,دانديدوراتو,VIT. D 4000 IU+CA100 MG+VIT. C 250MG,PHARMACIA PHARMACEUTICALS > DORATO PHARMACEUTICALS,VIT.D 4000IU  CA 100MG & VIT.C 250MG,ORAL.SOLID,135.0
DANDIVERA HAIR SHAMPOO 180ML,دانديفيرا هاير,ZINC PYRITHION+ALOE VERA+RESORCINOL,HI-CARE > AVANO PHARMA,HAIR CARE,TOPICAL,120.0
DANDIVERA HAIR SPRAY 120 ML,دانديفيرا هاير,PIROCTON OLAMINE+ CETRIMIDE+TRICLOSAN+TEA TREE OIL+SALICYLIC ACID+MENTHOL+PANTHENOL+ALOE VER,HI-CARE > AVANO PHARMA,HAIR CARE,SPRAY,100.0
DANDRENE ANTIDANDRUFF SHAMPOO 180 ML,داندريني أنتيداندروفف,,DS LABORATORIES > MULTITRADE,HAIR CARE,TOPICAL,325.0
DANICA ROLL ON 100 ML MASSAGE GEL,دانيكا رولل أون ماسساجي,CAMPHOR OIL+CLOVE OIL+EUCALYPTUS+MENTHOL+POMEGRANATE EXTRACT,E.C.C > RK PHARMA,MASSAGE GEL,TOPICAL,180.0
DANILO CREAM 30GM,دانيلو,BETA SITISTEROL,EL NILE FO COSMETIC > SOLOVIT,BURN CREAM,TOPICAL,80.0
DANOFRAN 4MG 1 AMP.,دانوفران,ONDANSETRON,UP PHARMA,ANTIEMETIC,INJECTION,28.5
DANOFRAN 4MG 5 F.C. TAB.,دانوفران,ONDANSETRON,UP PHARMA,ANTIEMETIC,ORAL.SOLID,70.0
DANOFRAN 8MG 5 F.C. TAB.,دانوفران,ONDANSETRON,UP PHARMA,ANTIEMETIC,ORAL.SOLID,130.0
DANOFRAN 8MG AMP.,دانوفران,ONDANSETRON,UP PHARMA,ANTIEMETIC,INJECTION,41.0
DANOL 200MG 60 CAPS.(N/A),دانول,DANAZOL,SANOFI,SYNTHETIC ANDROGEN,ORAL.SOLID,228.0
DANSET 4MG/2ML 3 AMPS.,دانسيت /,ONDANSETRON,ADWIA,ANTIEMETIC,INJECTION,82.5
DANSET 8MG/4ML 3 AMPS.,دانسيت /,ONDANSETRON,ADWIA,ANTIEMETIC,INJECTION,159.0
DANSHIRO M.SPRAY 30ML,دانشيرو م,CHLOROHEXIDIN+CLOVE OIL+MENTHOL OIL+TEA TREE OIL+EUCALYPTUS OIL+VIT E+HONEY,NILE COSMOTICS > EMERALD MEDICINE,MOUTH SPRAY,UNKNOWN,25.0
DANTRELAX 25MG 30 CAPS.,دانتريلاكس,DANTROLENE,CHEMIPHARM,SKELETAL MUSCLE RELAXANT.ANALGESIC.RYANODINE RECEPTOR (RYR1) CALCIUM CHANNEL BLOCKER  PERIPHERAL,ORAL.SOLID,147.0
DANTRELAX 50 MG 30 CAPS.,دانتريلاكس,DANTROLENE,CHEMIPHARM,SKELETAL MUSCLE RELAXANT.ANALGESIC.RYANODINE RECEPTOR (RYR1) CALCIUM CHANNEL BLOCKER   PERIPHERAL,ORAL.SOLID,79.0
DANTRELAX COMPOUND 30 CAPS.,دانتريلاكس كومبوند,DANTROLENE+PARACETAMOL(ACETAMINOPHEN),CHEMIPHARM,SKELETAL MUSCLE RELAXANT.ANALGESIC.RYANODINE RECEPTOR (RYR1) CALCIUM CHANNEL BLOCKER  PERIPHERAL,ORAL.SOLID,153.0
DANTRONE 25 MG 10 CAPS.,دانتروني,DANTROLENE,HIKMA PHARMA,SKELETAL MUSCLE RELAXANT.ANALGESIC.RYANODINE RECEPTOR (RYR1) CALCIUM CHANNEL BLOCKER   PERIPHERAL,ORAL.SOLID,11.0
DANTRONE 50 MG 10 CAPS.,دانتروني,DANTROLENE,HIKMA PHARMA,SKELETAL MUSCLE RELAXANT.ANALGESIC.RYANODINE RECEPTOR (RYR1) CALCIUM CHANNEL BLOCKER   PERIPHERAL,ORAL.SOLID,16.0
DAONIL 5 MG 30 TAB. (N/A),داونيل,GLIBENCLAMIDE(GLYBURIDE),SANOFI,ANTI-DIABETIC.SECRETAGOGUES.SULFONYLUREA,ORAL.SOLID,11.0
DAPABLIX 10 MG 30 F.C. TABS.,دابابليكس,DAPAGLIFLOZIN,AL ESRAA PHARMACEUTICAL OPTIMA,ANTI-DIABETIC.SECRETAGOGUES.SGLT2 INHIBITORS,ORAL.SOLID,186.0
DAPABLIX 5 MG 30 F.C.TABS.,دابابليكس,DAPAGLIFLOZIN,AL ESRAA PHARMACEUTICAL OPTIMA,ANTI-DIABETIC.SECRETAGOGUES.SGLT2 INHIBITORS,ORAL.SOLID,117.0
DAPABLIX MET XR 10 MG/1000 MG 30 EXT. REL. F.C.TABS.,دابابليكس ميت كسر / 30 إكست. ريل,DAPAGLIFLOZIN+METFORMIN,AL ESRAA PHARMACEUTICAL OPTIMA,ANTI-DIABETIC.SECRETAGOGUES.SGLT2 INHIBITORS,ORAL.SOLID,216.0
DAPAGLIF 10 MG 14 F.C.TABS.,داباجليف,DAPAGLIFLOZIN,SANOFI,ANTI-DIABETIC.SECRETAGOGUES.SGLT2 INHIBITORS,ORAL.SOLID,178.0
DAPAGLIF PLUS XR 10MG/1000MG 14 F.C. TABS.,داباجليف بلوس كسر /,DAPAGLIFLOZIN+METFORMIN,SANOFI,ANTI-DIABETIC.SECRETAGOGUES.SGLT2 INHIBITORS,ORAL.SOLID,180.0
DAPAGLIFLOZIN-EVA 10 MG 30 F.C. TABS.,داباجليفلوزين-إفا,DAPAGLIFLOZIN,EVA PHARMA,ANTI-DIABETIC.SECRETAGOGUES.SGLT2 INHIBITORS,ORAL.SOLID,271.5
DAPAGLIFLOZIN-EVA 5 MG 30 F.C. TABS.,داباجليفلوزين-إفا,DAPAGLIFLOZIN,EVA PHARMA,ANTI-DIABETIC.SECRETAGOGUES.SGLT2 INHIBITORS,ORAL.SOLID,172.5
DAPAGLOZA 10 MG 30 F.C. TABS.,داباجلوزا,DAPAGLIFLOZIN,AVERROES PHARMA,ANTI-DIABETIC.SECRETAGOGUES.SGLT2 INHIBITORS,ORAL.SOLID,298.5
DAPAGLOZA 5 MG 30 F.C. TABS.,داباجلوزا,DAPAGLIFLOZIN,AVERROES PHARMA,ANTI-DIABETIC.SECRETAGOGUES.SGLT2 INHIBITORS,ORAL.SOLID,298.5
DAPAGLOZNAL 10 MG 28 F.C. TABS.,داباجلوزنال,DAPAGLIFLOZIN,MULTICARE,ANTI-DIABETIC.SECRETAGOGUES.SGLT2 INHIBITORS,ORAL.SOLID,300.0
DAPAGLOZNAL 5 MG 28 F.C. TABS.,داباجلوزنال,DAPAGLIFLOZIN,MULTICARE,ANTI-DIABETIC.SECRETAGOGUES.SGLT2 INHIBITORS,ORAL.SOLID,200.0
DAPAVELDACTIN 10 MG 28 F.C. TABS.,دابافيلداكتين,DAPAGLIFLOZIN,LIPTIS,ANTI-DIABETIC.SECRETAGOGUES.SGLT2 INHIBITORS,ORAL.SOLID,368.0
